State,District,Year,SO2_min,SO2_max,NO2_min,NO2_max,RSPM_min,RSPM_max,SPM_min,SPM_max,Rice_Yield,Wheat_Yield,Maize_Yield,Sugarcane_Yield
Uttar Pradesh,Agra,1997,7.2,24.8,5.8,22.2,,,115,870,0.073924523,13.94438311,0.006561559,0.798120958
Uttar Pradesh,Agra,1998,6.9,35.8,6,27,,,289,1006,0.264675027,36.36108257,0.006392381,2.210926841
Uttar Pradesh,Agra,1999,6,15.4,5.8,13.4,,,145,864,0.266916824,37.39031013,0.011012702,1.721440557
Uttar Pradesh,Agra,2000,5.7,13.5,5.4,11.7,,,266,489,0.161814757,27.21398255,0.013840271,1.801563498
Uttar Pradesh,Agra,2001,8.2,14.1,7.1,12.2,,,77,670,0.15797029,25.96946078,0.012217815,1.093669917
Uttar Pradesh,Agra,2002,4.3,8,10,12.1,,,162,619,0.133243569,30.03478358,0.018128138,1.003464333
Uttar Pradesh,Agra,2003,,,,,,,,,0.097060342,28.72093935,0.006894258,0.678205763
Uttar Pradesh,Agra,2004,4.5,13.3,4.5,13.2,62,313,5,125,0.147630943,23.04023097,0.01691306,0.654965396
Uttar Pradesh,Agra,2005,2.8,49,7.1,77,19,678,49,1164,0.124758802,22.91771753,0.007170666,0.627460217
Uttar Pradesh,Agra,2006,2.3,30.8,5.3,84.2,11,598,29,1235,0.149003364,24.94791739,0.009638836,0.694648467
Uttar Pradesh,Agra,2007,2.3,27.4,5.3,82,11,721,24,1061,0.207264726,32.25535728,0.00960184,0.973311551
Uttar Pradesh,Agra,2008,2.3,43.2,5.3,84.5,13,649,28,1088,0.364202396,34.24503468,0.01320145,0.693332282
Uttar Pradesh,Agra,2009,2.3,24,5.3,66.6,14,624,32,1144,0.337942785,34.83944845,0.007607576,1.328393692
Uttar Pradesh,Agra,2010,6.666666667,13,8.4,15,94.33333333,311,169,582.6666667,0.599438071,32.56827977,0.006400035,0.528369029
Uttar Pradesh,Agra,2011,2,17,5,68,9,622,,,0.609469564,37.94563715,0.026541067,0.706317376
Uttar Pradesh,Agra,2012,,,,,,,,,0.343614286,39.16877015,0.013526331,1.020726526
Uttar Pradesh,Agra,2013,2,15,5,73,12,544,,,1.571373082,34.29068169,0.012794717,0.855637988
Uttar Pradesh,Agra,2014,2,20,5,76,15,644,,,1.682184814,22.76951103,0.022527711,0.423895855
Uttar Pradesh,Sonbhadra,1997,35.9,77.8,38.7,71,,,153,403,10.29173728,4.845216261,0.728147563,1.134434565
Uttar Pradesh,Sonbhadra,1998,49.2,69.5,55.2,67.2,,,181,370,15.40823768,6.523901145,1.04264695,1.496991749
Uttar Pradesh,Sonbhadra,1999,48.4,67.8,55.3,68.2,,,142,463,17.58527412,8.076304252,0.655142593,1.123748039
Uttar Pradesh,Sonbhadra,2000,55.7,70.3,60.5,72.7,,,97,257,11.18549061,6.363724581,0.558283074,1.797336272
Uttar Pradesh,Sonbhadra,2001,34.5,70.4,44.3,73.1,,,107,357,15.99820321,8.800636556,0.346769611,1.358821181
Uttar Pradesh,Sonbhadra,2002,21.3,56,32,61.4,,,82,421,12.75978936,11.86953755,0.595504006,1.631023984
Uttar Pradesh,Sonbhadra,2003,,,,,,,,,19.24298798,10.4176483,0.68387411,1.447006899
Uttar Pradesh,Sonbhadra,2004,12.2,34,16.8,38.6,55,283,106,575,3.667574148,5.676641857,0.522538746,1.077682886
Uttar Pradesh,Sonbhadra,2005,12.3,25.9,10,36.8,42,238,85,491,7.264981494,6.054021267,1.439634577,1.268237129
Uttar Pradesh,Sonbhadra,2006,12.5,26.1,18.1,45.2,44,294,80,544,14.75300223,8.27823846,0.43618333,0.988376782
Uttar Pradesh,Sonbhadra,2007,14.4,22.8,21.7,36.7,62,195,114,400,6.60628676,7.423238422,2.404160012,2.093911892
Uttar Pradesh,Sonbhadra,2008,13.1,49.7,20.2,36.3,61,179,118,370,6.305200959,12.00234127,1.599921958,0.769942583
Uttar Pradesh,Sonbhadra,2009,13.6,21.3,21,37.2,77,181,145,383,4.503920916,22.7151344,0.89019737,2.137778623
Uttar Pradesh,Sonbhadra,2010,11.19333333,19.56166667,19.36666667,52.98666667,86.33333333,311.6666667,151.6666667,329,6.614256144,14.62428501,0.965202181,1.465356695
Uttar Pradesh,Sonbhadra,2011,11,34,18,77,75,582,,,11.37053235,17.86776206,0.776236907,1.938028292
Uttar Pradesh,Sonbhadra,2012,12,19,17,,87,170,,,12.02320135,19.15925059,1.258346495,1.639616579
Uttar Pradesh,Sonbhadra,2013,14,19,20,,89,161,,,11.21504216,22.8551055,1.327118929,2.466199209
Uttar Pradesh,Sonbhadra,2014,14,35,20,31,74,156,,,8.449884862,19.00650426,1.344968287,2.327960247
Uttar Pradesh,Lucknow,1997,23.1,36.5,25,41.4,,,218,733,3.594649562,14.08455882,0.163954944,2.084011264
Uttar Pradesh,Lucknow,1998,26.5,36.5,28,38.9,,,382,574,7.33436554,25.76149082,0.096889494,4.08111756
