State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Chhattisgarh,Bilaspur,2000,Kharif     ,Arhar/Tur,3295.0,1480.0
Chhattisgarh,Bilaspur,2000,Kharif     ,Cotton(lint),13.0,
Chhattisgarh,Bilaspur,2000,Kharif     ,Groundnut,3094.0,2620.0
Chhattisgarh,Bilaspur,2000,Kharif     ,Horse-gram,1530.0,316.0
Chhattisgarh,Bilaspur,2000,Kharif     ,Jowar,571.0,406.0
Chhattisgarh,Bilaspur,2000,Kharif     ,Maize,4548.0,4422.0
Chhattisgarh,Bilaspur,2000,Kharif     ,Mesta,51.0,94.0
Chhattisgarh,Bilaspur,2000,Kharif     ,Moong(Green Gram),49.0,8.0
Chhattisgarh,Bilaspur,2000,Kharif     ,Niger seed,1015.0,249.0
Chhattisgarh,Bilaspur,2000,Kharif     ,Other Kharif pulses,176.0,76.0
Chhattisgarh,Bilaspur,2000,Kharif     ,Rice,314066.0,195548.0
Chhattisgarh,Bilaspur,2000,Kharif     ,Sesamum,687.0,92.0
Chhattisgarh,Bilaspur,2000,Kharif     ,Small millets,8261.0,1361.0
Chhattisgarh,Bilaspur,2000,Kharif     ,Soyabean,591.0,313.0
Chhattisgarh,Bilaspur,2000,Kharif     ,Sunflower,3.0,1.0
Chhattisgarh,Bilaspur,2000,Kharif     ,Urad,2870.0,422.0
Chhattisgarh,Bilaspur,2000,Rabi       ,Barley,11.0,9.0
Chhattisgarh,Bilaspur,2000,Rabi       ,Gram,17356.0,10284.0
Chhattisgarh,Bilaspur,2000,Rabi       ,Khesari,56000.0,29538.0
Chhattisgarh,Bilaspur,2000,Rabi       ,Linseed,4350.0,816.0
Chhattisgarh,Bilaspur,2000,Rabi       ,Masoor,932.0,258.0
Chhattisgarh,Bilaspur,2000,Rabi       ,Moong(Green Gram),6.0,2.0
Chhattisgarh,Bilaspur,2000,Rabi       ,Other  Rabi pulses,94.0,38.0
Chhattisgarh,Bilaspur,2000,Rabi       ,Peas & beans (Pulses),510.0,157.0
Chhattisgarh,Bilaspur,2000,Rabi       ,Rapeseed &Mustard,2211.0,520.0
Chhattisgarh,Bilaspur,2000,Rabi       ,Safflower,635.0,126.0
Chhattisgarh,Bilaspur,2000,Rabi       ,Urad,104.0,22.0
Chhattisgarh,Bilaspur,2000,Rabi       ,Wheat,8540.0,8015.0
Chhattisgarh,Bilaspur,2000,Whole Year ,Banana,4.0,143.0
Chhattisgarh,Bilaspur,2000,Whole Year ,Coriander,621.0,156.0
Chhattisgarh,Bilaspur,2000,Whole Year ,Dry chillies,506.0,104.0
Chhattisgarh,Bilaspur,2000,Whole Year ,Dry ginger,35.0,38.0
Chhattisgarh,Bilaspur,2000,Whole Year ,Garlic,40.0,131.0
Chhattisgarh,Bilaspur,2000,Whole Year ,Onion,68.0,569.0
Chhattisgarh,Bilaspur,2000,Whole Year ,Potato,345.0,2335.0
Chhattisgarh,Bilaspur,2000,Whole Year ,Sannhamp,100.0,17.0
Chhattisgarh,Bilaspur,2000,Whole Year ,Sugarcane,163.0,510.0
Chhattisgarh,Bilaspur,2000,Whole Year ,Sweet potato,294.0,1847.0
Chhattisgarh,Bilaspur,2000,Whole Year ,Turmeric,1.0,1.0
Chhattisgarh,Bilaspur,2001,Kharif     ,Arhar/Tur,4180.0,1665.0
Chhattisgarh,Bilaspur,2001,Kharif     ,Castor seed,10.0,2.0
Chhattisgarh,Bilaspur,2001,Kharif     ,Groundnut,2984.0,3934.0
Chhattisgarh,Bilaspur,2001,Kharif     ,Horse-gram,1228.0,360.0
Chhattisgarh,Bilaspur,2001,Kharif     ,Jowar,556.0,552.0
Chhattisgarh,Bilaspur,2001,Kharif     ,Maize,4668.0,3344.0
Chhattisgarh,Bilaspur,2001,Kharif     ,Mesta,22.0,45.0
Chhattisgarh,Bilaspur,2001,Kharif     ,Moong(Green Gram),77.0,17.0
Chhattisgarh,Bilaspur,2001,Kharif     ,Niger seed,826.0,202.0
Chhattisgarh,Bilaspur,2001,Kharif     ,Other Kharif pulses,262.0,118.0
Chhattisgarh,Bilaspur,2001,Kharif     ,Rice,319809.0,448855.0
Chhattisgarh,Bilaspur,2001,Kharif     ,Sesamum,889.0,190.0
Chhattisgarh,Bilaspur,2001,Kharif     ,Small millets,8036.0,2321.0
Chhattisgarh,Bilaspur,2001,Kharif     ,Soyabean,554.0,503.0
Chhattisgarh,Bilaspur,2001,Kharif     ,Sunflower,31.0,14.0
Chhattisgarh,Bilaspur,2001,Kharif     ,Urad,1924.0,436.0
Chhattisgarh,Bilaspur,2001,Rabi       ,Barley,7.0,6.0
Chhattisgarh,Bilaspur,2001,Rabi       ,Gram,19188.0,14032.0
Chhattisgarh,Bilaspur,2001,Rabi       ,Khesari,71236.0,43482.0
Chhattisgarh,Bilaspur,2001,Rabi       ,Linseed,4567.0,1164.0
Chhattisgarh,Bilaspur,2001,Rabi       ,Masoor,796.0,250.0
Chhattisgarh,Bilaspur,2001,Rabi       ,Moong(Green Gram),26.0,5.0
Chhattisgarh,Bilaspur,2001,Rabi       ,Other  Rabi pulses,92.0,38.0
Chhattisgarh,Bilaspur,2001,Rabi       ,Peas & beans (Pulses),803.0,271.0
Chhattisgarh,Bilaspur,2001,Rabi       ,Rapeseed &Mustard,2556.0,789.0
Chhattisgarh,Bilaspur,2001,Rabi       ,Safflower,73.0,16.0
Chhattisgarh,Bilaspur,2001,Rabi       ,Urad,158.0,32.0
Chhattisgarh,Bilaspur,2001,Rabi       ,Wheat,12253.0,12946.0
Chhattisgarh,Bilaspur,2001,Whole Year ,Banana,3.0,107.0
Chhattisgarh,Bilaspur,2001,Whole Year ,Coriander,607.0,154.0
Chhattisgarh,Bilaspur,2001,Whole Year ,Dry chillies,786.0,338.0
Chhattisgarh,Bilaspur,2001,Whole Year ,Dry ginger,39.0,47.0
Chhattisgarh,Bilaspur,2001,Whole Year ,Garlic,46.0,161.0
Chhattisgarh,Bilaspur,2001,Whole Year ,Onion,76.0,785.0
Chhattisgarh,Bilaspur,2001,Whole Year ,Potato,337.0,2274.0
Chhattisgarh,Bilaspur,2001,Whole Year ,Sannhamp,120.0,38.0
Chhattisgarh,Bilaspur,2001,Whole Year ,Sugarcane,95.0,293.0
Chhattisgarh,Bilaspur,2001,Whole Year ,Sweet potato,299.0,1943.0
Chhattisgarh,Bilaspur,2001,Whole Year ,Turmeric,2.0,2.0
Chhattisgarh,Bilaspur,2002,Kharif     ,Arhar/Tur,4351.0,2007.0
Chhattisgarh,Bilaspur,2002,Kharif     ,Castor seed,21.0,6.0
Chhattisgarh,Bilaspur,2002,Kharif     ,Groundnut,3221.0,2951.0
Chhattisgarh,Bilaspur,2002,Kharif     ,Horse-gram,1049.0,262.0
Chhattisgarh,Bilaspur,2002,Kharif     ,Jowar,465.0,428.0
Chhattisgarh,Bilaspur,2002,Kharif     ,Maize,4578.0,5483.0
Chhattisgarh,Bilaspur,2002,Kharif     ,Mesta,1.0,2.0
Chhattisgarh,Bilaspur,2002,Kharif     ,Moong(Green Gram),98.0,18.0
Chhattisgarh,Bilaspur,2002,Kharif     ,Niger seed,678.0,100.0
Chhattisgarh,Bilaspur,2002,Kharif     ,Other Kharif pulses,245.0,98.0
Chhattisgarh,Bilaspur,2002,Kharif     ,Rice,316368.0,212099.0
Chhattisgarh,Bilaspur,2002,Kharif     ,Sesamum,767.0,171.0
Chhattisgarh,Bilaspur,2002,Kharif     ,Small millets,7283.0,1224.0
Chhattisgarh,Bilaspur,2002,Kharif     ,Soyabean,355.0,218.0
Chhattisgarh,Bilaspur,2002,Kharif     ,Sunflower,15.0,5.0
Chhattisgarh,Bilaspur,2002,Kharif     ,Urad,2152.0,411.0
Chhattisgarh,Bilaspur,2002,Rabi       ,Barley,8.0,3.0
Chhattisgarh,Bilaspur,2002,Rabi       ,Gram,18095.0,12052.0
Chhattisgarh,Bilaspur,2002,Rabi       ,Horse-gram,14.0,4.0
Chhattisgarh,Bilaspur,2002,Rabi       ,Khesari,64033.0,38655.0
Chhattisgarh,Bilaspur,2002,Rabi       ,Linseed,3398.0,968.0
Chhattisgarh,Bilaspur,2002,Rabi       ,Masoor,1014.0,291.0
Chhattisgarh,Bilaspur,2002,Rabi       ,Moong(Green Gram),234.0,53.0
Chhattisgarh,Bilaspur,2002,Rabi       ,Other  Rabi pulses,103.0,38.0
Chhattisgarh,Bilaspur,2002,Rabi       ,Peas & beans (Pulses),727.0,232.0
Chhattisgarh,Bilaspur,2002,Rabi       ,Rapeseed &Mustard,2535.0,643.0
Chhattisgarh,Bilaspur,2002,Rabi       ,Safflower,20.0,4.0
Chhattisgarh,Bilaspur,2002,Rabi       ,Urad,720.0,151.0
Chhattisgarh,Bilaspur,2002,Rabi       ,Wheat,10820.0,11319.0
Chhattisgarh,Bilaspur,2002,Whole Year ,Banana,7.0,203.0
Chhattisgarh,Bilaspur,2002,Whole Year ,Coriander,549.0,137.0
Chhattisgarh,Bilaspur,2002,Whole Year ,Dry chillies,645.0,496.0
Chhattisgarh,Bilaspur,2002,Whole Year ,Dry ginger,43.0,46.0
Chhattisgarh,Bilaspur,2002,Whole Year ,Garlic,54.0,173.0
Chhattisgarh,Bilaspur,2002,Whole Year ,Onion,209.0,1848.0
Chhattisgarh,Bilaspur,2002,Whole Year ,Papaya,5.0,163.0
Chhattisgarh,Bilaspur,2002,Whole Year ,Potato,407.0,2937.0
Chhattisgarh,Bilaspur,2002,Whole Year ,Sannhamp,108.0,25.0
Chhattisgarh,Bilaspur,2002,Whole Year ,Sugarcane,190.0,575.0
Chhattisgarh,Bilaspur,2002,Whole Year ,Sweet potato,211.0,1234.0
Chhattisgarh,Bilaspur,2002,Whole Year ,Turmeric,2.0,2.0
Chhattisgarh,Bilaspur,2003,Kharif     ,Arhar/Tur,4263.0,2687.0
Chhattisgarh,Bilaspur,2003,Kharif     ,Castor seed,15.0,4.0
Chhattisgarh,Bilaspur,2003,Kharif     ,Groundnut,2918.0,3089.0
Chhattisgarh,Bilaspur,2003,Kharif     ,Horse-gram,1106.0,318.0
Chhattisgarh,Bilaspur,2003,Kharif     ,Jowar,444.0,412.0
Chhattisgarh,Bilaspur,2003,Kharif     ,Maize,4406.0,5456.0
Chhattisgarh,Bilaspur,2003,Kharif     ,Mesta,23.0,49.0
Chhattisgarh,Bilaspur,2003,Kharif     ,Moong(Green Gram),119.0,26.0
Chhattisgarh,Bilaspur,2003,Kharif     ,Niger seed,717.0,179.0
Chhattisgarh,Bilaspur,2003,Kharif     ,Other Kharif pulses,227.0,105.0
Chhattisgarh,Bilaspur,2003,Kharif     ,Rice,320204.0,505972.0
Chhattisgarh,Bilaspur,2003,Kharif     ,Sesamum,761.0,203.0
Chhattisgarh,Bilaspur,2003,Kharif     ,Small millets,7093.0,2206.0
Chhattisgarh,Bilaspur,2003,Kharif     ,Soyabean,525.0,525.0
Chhattisgarh,Bilaspur,2003,Kharif     ,Sunflower,17.0,7.0
Chhattisgarh,Bilaspur,2003,Kharif     ,Urad,2138.0,493.0
Chhattisgarh,Bilaspur,2003,Rabi       ,Barley,12.0,10.0
Chhattisgarh,Bilaspur,2003,Rabi       ,Gram,21450.0,19667.0
Chhattisgarh,Bilaspur,2003,Rabi       ,Horse-gram,18.0,6.0
Chhattisgarh,Bilaspur,2003,Rabi       ,Khesari,83557.0,62089.0
Chhattisgarh,Bilaspur,2003,Rabi       ,Linseed,4283.0,1273.0
Chhattisgarh,Bilaspur,2003,Rabi       ,Masoor,1014.0,325.0
Chhattisgarh,Bilaspur,2003,Rabi       ,Moong(Green Gram),20.0,5.0
Chhattisgarh,Bilaspur,2003,Rabi       ,Other  Rabi pulses,111.0,46.0
Chhattisgarh,Bilaspur,2003,Rabi       ,Peas & beans (Pulses),898.0,313.0
Chhattisgarh,Bilaspur,2003,Rabi       ,Rapeseed &Mustard,2415.0,830.0
Chhattisgarh,Bilaspur,2003,Rabi       ,Safflower,116.0,24.0
Chhattisgarh,Bilaspur,2003,Rabi       ,Urad,228.0,53.0
Chhattisgarh,Bilaspur,2003,Rabi       ,Wheat,13290.0,14065.0
Chhattisgarh,Bilaspur,2003,Whole Year ,Banana,2.0,68.0
Chhattisgarh,Bilaspur,2003,Whole Year ,Coriander,615.0,153.0
Chhattisgarh,Bilaspur,2003,Whole Year ,Dry chillies,814.0,443.0
Chhattisgarh,Bilaspur,2003,Whole Year ,Dry ginger,42.0,50.0
Chhattisgarh,Bilaspur,2003,Whole Year ,Garlic,59.0,183.0
Chhattisgarh,Bilaspur,2003,Whole Year ,Onion,89.0,887.0
Chhattisgarh,Bilaspur,2003,Whole Year ,Papaya,6.0,206.0
Chhattisgarh,Bilaspur,2003,Whole Year ,Potato,431.0,2156.0
Chhattisgarh,Bilaspur,2003,Whole Year ,Sannhamp,121.0,35.0
Chhattisgarh,Bilaspur,2003,Whole Year ,Sugarcane,171.0,535.0
Chhattisgarh,Bilaspur,2003,Whole Year ,Sweet potato,232.0,1432.0
Chhattisgarh,Bilaspur,2003,Whole Year ,Turmeric,2.0,1.0
Chhattisgarh,Bilaspur,2004,Kharif     ,Arhar/Tur,3867.0,2088.0
Chhattisgarh,Bilaspur,2004,Kharif     ,Castor seed,11.0,3.0
Chhattisgarh,Bilaspur,2004,Kharif     ,Groundnut,2787.0,3205.0
Chhattisgarh,Bilaspur,2004,Kharif     ,Horse-gram,1013.0,274.0
Chhattisgarh,Bilaspur,2004,Kharif     ,Jowar,423.0,259.0
Chhattisgarh,Bilaspur,2004,Kharif     ,Maize,4210.0,5549.0
Chhattisgarh,Bilaspur,2004,Kharif     ,Mesta,170.0,302.0
Chhattisgarh,Bilaspur,2004,Kharif     ,Moong(Green Gram),107.0,22.0
Chhattisgarh,Bilaspur,2004,Kharif     ,Niger seed,585.0,102.0
Chhattisgarh,Bilaspur,2004,Kharif     ,Other Kharif pulses,267.0,119.0
Chhattisgarh,Bilaspur,2004,Kharif     ,Rice,321626.0,433960.0
Chhattisgarh,Bilaspur,2004,Kharif     ,Sesamum,990.0,261.0
Chhattisgarh,Bilaspur,2004,Kharif     ,Small millets,6416.0,1641.0
Chhattisgarh,Bilaspur,2004,Kharif     ,Soyabean,851.0,897.0
Chhattisgarh,Bilaspur,2004,Kharif     ,Sunflower,22.0,10.0
Chhattisgarh,Bilaspur,2004,Kharif     ,Urad,2228.0,451.0
Chhattisgarh,Bilaspur,2004,Rabi       ,Gram,22414.0,12780.0
Chhattisgarh,Bilaspur,2004,Rabi       ,Khesari,78084.0,45005.0
Chhattisgarh,Bilaspur,2004,Rabi       ,Linseed,4094.0,906.0
Chhattisgarh,Bilaspur,2004,Rabi       ,Masoor,1186.0,328.0
Chhattisgarh,Bilaspur,2004,Rabi       ,Moong(Green Gram),39.0,7.0
Chhattisgarh,Bilaspur,2004,Rabi       ,Other  Rabi pulses,275.0,52.0
Chhattisgarh,Bilaspur,2004,Rabi       ,Peas & beans (Pulses),947.0,285.0
Chhattisgarh,Bilaspur,2004,Rabi       ,Rapeseed &Mustard,2503.0,791.0
Chhattisgarh,Bilaspur,2004,Rabi       ,Safflower,102.0,19.0
Chhattisgarh,Bilaspur,2004,Rabi       ,Urad,212.0,2.0
Chhattisgarh,Bilaspur,2004,Rabi       ,Wheat,12903.0,10878.0
Chhattisgarh,Bilaspur,2004,Whole Year ,Banana,3.0,102.0
Chhattisgarh,Bilaspur,2004,Whole Year ,Coriander,657.0,170.0
Chhattisgarh,Bilaspur,2004,Whole Year ,Dry chillies,676.0,336.0
